id,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2HotTAoFiOYTeMZkNs1Ces,The Love Club,Lorde,0.799,0.501,0,-7.244,1,0.0465,0.211,0.0123,0.118,0.635,92.032,audio_features,spotify:track:2HotTAoFiOYTeMZkNs1Ces,https://api.spotify.com/v1/tracks/2HotTAoFiOYTeMZkNs1Ces,https://api.spotify.com/v1/audio-analysis/2HotTAoFiOYTeMZkNs1Ces,201434,4
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,"Ariana Grande, The Weeknd",0.486,0.712,1,-4.388,0,0.0328,0.00936,0.0,0.0764,0.244,99.128,audio_features,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/tracks/5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/audio-analysis/5J4ZkQpzMUFojo1CtAZYpn,236133,4
5VSCgNlSmTV2Yq5lB40Eaw,Love Me Again,John Newman,0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,audio_features,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,https://api.spotify.com/v1/tracks/5VSCgNlSmTV2Yq5lB40Eaw,https://api.spotify.com/v1/audio-analysis/5VSCgNlSmTV2Yq5lB40Eaw,239894,4
26QLJMK8G0M06sk7h7Fkse,love is embarrassing,Olivia Rodrigo,0.517,0.821,9,-3.504,1,0.105,0.00341,0.0,0.148,0.617,160.052,audio_features,spotify:track:26QLJMK8G0M06sk7h7Fkse,https://api.spotify.com/v1/tracks/26QLJMK8G0M06sk7h7Fkse,https://api.spotify.com/v1/audio-analysis/26QLJMK8G0M06sk7h7Fkse,154517,4
293mQGfVwgXIOdA1GpiwAt,Love & War,Kodak Black,0.762,0.649,11,-5.624,0,0.0527,0.58,1.7e-05,0.0971,0.501,145.09,audio_features,spotify:track:293mQGfVwgXIOdA1GpiwAt,https://api.spotify.com/v1/tracks/293mQGfVwgXIOdA1GpiwAt,https://api.spotify.com/v1/audio-analysis/293mQGfVwgXIOdA1GpiwAt,239146,4
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),"Khalid, Normani",0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,audio_features,spotify:track:45Egmo7icyopuzJN0oMEdk,https://api.spotify.com/v1/tracks/45Egmo7icyopuzJN0oMEdk,https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk,201707,4
0TcJ7QWpggdSg8t0fHThHm,LoveGame,Lady Gaga,0.894,0.678,6,-5.611,0,0.0523,0.00569,2.43e-06,0.317,0.844,105.029,audio_features,spotify:track:0TcJ7QWpggdSg8t0fHThHm,https://api.spotify.com/v1/tracks/0TcJ7QWpggdSg8t0fHThHm,https://api.spotify.com/v1/audio-analysis/0TcJ7QWpggdSg8t0fHThHm,216333,4
2cgUEhSKpvcrKuNVeChvgJ,Love Potions Slowed and Reverbed,"BJ Lips HDD, princesss paparazzi, BJ Lips",0.607,0.792,8,-6.419,1,0.0287,0.104,0.0,0.122,0.188,102.204,audio_features,spotify:track:2cgUEhSKpvcrKuNVeChvgJ,https://api.spotify.com/v1/tracks/2cgUEhSKpvcrKuNVeChvgJ,https://api.spotify.com/v1/audio-analysis/2cgUEhSKpvcrKuNVeChvgJ,207567,4
53KWkwzQq47p13swqiLAMI,Love Me Anyway,Chappell Roan,0.608,0.463,8,-7.005,1,0.0286,0.265,1.61e-06,0.0743,0.271,93.957,audio_features,spotify:track:53KWkwzQq47p13swqiLAMI,https://api.spotify.com/v1/tracks/53KWkwzQq47p13swqiLAMI,https://api.spotify.com/v1/audio-analysis/53KWkwzQq47p13swqiLAMI,233325,4
6nGeLlakfzlBcFdZXteDq7,Love Story,Indila,0.375,0.255,10,-12.279,0,0.0377,0.815,0.0,0.0845,0.331,95.978,audio_features,spotify:track:6nGeLlakfzlBcFdZXteDq7,https://api.spotify.com/v1/tracks/6nGeLlakfzlBcFdZXteDq7,https://api.spotify.com/v1/audio-analysis/6nGeLlakfzlBcFdZXteDq7,316280,3
0tziUvXJBqjdmV8gWxOjfV,Love Songs,Kaash Paige,0.64,0.355,5,-10.599,1,0.0906,0.83,0.000938,0.11,0.451,120.063,audio_features,spotify:track:0tziUvXJBqjdmV8gWxOjfV,https://api.spotify.com/v1/tracks/0tziUvXJBqjdmV8gWxOjfV,https://api.spotify.com/v1/audio-analysis/0tziUvXJBqjdmV8gWxOjfV,148640,4
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4
4W4wYHtsrgDiivRASVOINL,Love Shack,The B-52's,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,audio_features,spotify:track:4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,320680,4
3z9OnsnvM6SFN2dzrSDdVO,Love Like You (feat. Rebecca Sugar) - End Credits,"Steven Universe, Rebecca Sugar",0.591,0.242,0,-10.098,0,0.0312,0.879,0.0,0.15,0.292,118.001,audio_features,spotify:track:3z9OnsnvM6SFN2dzrSDdVO,https://api.spotify.com/v1/tracks/3z9OnsnvM6SFN2dzrSDdVO,https://api.spotify.com/v1/audio-analysis/3z9OnsnvM6SFN2dzrSDdVO,143630,3
4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,audio_features,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,258827,4
3IPnBzGRMg6BfViFxxa0Gq,"Love Is an Open Door - From ""Frozen""/Soundtrack Version","Kristen Bell, Santino Fontana",0.737,0.636,6,-6.308,0,0.0737,0.262,0.0,0.319,0.537,100.033,audio_features,spotify:track:3IPnBzGRMg6BfViFxxa0Gq,https://api.spotify.com/v1/tracks/3IPnBzGRMg6BfViFxxa0Gq,https://api.spotify.com/v1/audio-analysis/3IPnBzGRMg6BfViFxxa0Gq,124733,4
6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),Taylor Swift,0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,audio_features,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,https://api.spotify.com/v1/tracks/6YvqWjhGD8mB5QXcbcUKtx,https://api.spotify.com/v1/audio-analysis/6YvqWjhGD8mB5QXcbcUKtx,235767,4
5XFoaqV1Z8XaLJidchVWhh,love.,Kid Cudi,0.574,0.736,5,-4.743,1,0.0465,0.146,1.66e-05,0.407,0.344,138.501,audio_features,spotify:track:5XFoaqV1Z8XaLJidchVWhh,https://api.spotify.com/v1/tracks/5XFoaqV1Z8XaLJidchVWhh,https://api.spotify.com/v1/audio-analysis/5XFoaqV1Z8XaLJidchVWhh,328573,4
3Hp8GJDsH3E7fumfAACH2k,Love in Paradise,"Jorge Rivera-Herrans, Barbara Wangui, Teagan Earley, Kira Stone, Steven Rodriguez, Talya Sindel, Mason Olshavsky, KJ Burkhauser, Armando Julián, Steven Dookie, Wanda Herrans, Cast of EPIC: The Musical",0.414,0.59,1,-7.22,1,0.0986,0.536,0.0,0.142,0.339,170.138,audio_features,spotify:track:3Hp8GJDsH3E7fumfAACH2k,https://api.spotify.com/v1/tracks/3Hp8GJDsH3E7fumfAACH2k,https://api.spotify.com/v1/audio-analysis/3Hp8GJDsH3E7fumfAACH2k,250588,4
1z6WtY7X4HQJvzxC4UgkSf,Love On Top,Beyoncé,0.652,0.749,0,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103,audio_features,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf,267413,4
1ucnuV88gFTfR3BalmznDk,Lover Is a Day,Cuco,0.404,0.647,3,-10.452,1,0.0409,0.0434,0.198,0.1,0.351,180.128,audio_features,spotify:track:1ucnuV88gFTfR3BalmznDk,https://api.spotify.com/v1/tracks/1ucnuV88gFTfR3BalmznDk,https://api.spotify.com/v1/audio-analysis/1ucnuV88gFTfR3BalmznDk,456000,4
2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,audio_features,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,145800,4
2kYevr8cbIAH2ha8210Bnz,Love You Anyway,Luke Combs,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,spotify:track:2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/tracks/2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/audio-analysis/2kYevr8cbIAH2ha8210Bnz,229627,4
0yIywEquxORnu1dR0WYsdN,Love Me,Justin Bieber,0.712,0.868,5,-3.319,0,0.0656,0.00939,0.0,0.283,0.652,125.028,audio_features,spotify:track:0yIywEquxORnu1dR0WYsdN,https://api.spotify.com/v1/tracks/0yIywEquxORnu1dR0WYsdN,https://api.spotify.com/v1/audio-analysis/0yIywEquxORnu1dR0WYsdN,191573,4
1eIXYZWEfJO3Na2LCCnIJE,Love Language,SZA,0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,audio_features,spotify:track:1eIXYZWEfJO3Na2LCCnIJE,https://api.spotify.com/v1/tracks/1eIXYZWEfJO3Na2LCCnIJE,https://api.spotify.com/v1/audio-analysis/1eIXYZWEfJO3Na2LCCnIJE,183893,4
3sTN90bIP2cJ1783ctHykO,Love$ick (feat. A$AP Rocky),"Mura Masa, A$AP Rocky",0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.753,audio_features,spotify:track:3sTN90bIP2cJ1783ctHykO,https://api.spotify.com/v1/tracks/3sTN90bIP2cJ1783ctHykO,https://api.spotify.com/v1/audio-analysis/3sTN90bIP2cJ1783ctHykO,192160,4
0X5C4WjQNubRysTkHOubz3,Lovesong - 2010 Remaster,The Cure,0.611,0.813,9,-7.689,0,0.0279,0.339,0.898,0.224,0.821,140.112,audio_features,spotify:track:0X5C4WjQNubRysTkHOubz3,https://api.spotify.com/v1/tracks/0X5C4WjQNubRysTkHOubz3,https://api.spotify.com/v1/audio-analysis/0X5C4WjQNubRysTkHOubz3,209573,4
