id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_title,cluster,track_id
0AkLPCo9oTCm0RKfJoLpyz,0.489,0.515,9.0,-9.14,1.0,0.0348,0.662,3.84e-05,0.115,0.37,91.25,audio_features,spotify:track:0AkLPCo9oTCm0RKfJoLpyz,https://api.spotify.com/v1/tracks/0AkLPCo9oTCm0RKfJoLpyz,https://api.spotify.com/v1/audio-analysis/0AkLPCo9oTCm0RKfJoLpyz,172587.0,4.0,Thomas Rhett,Want It Again,8.0,
0AsEtuoqlnt5xKAmuOCpJy,0.416,0.55,11.0,-4.782,1.0,0.0306,0.00534,0.000141,0.113,0.128,111.154,audio_features,spotify:track:0AsEtuoqlnt5xKAmuOCpJy,https://api.spotify.com/v1/tracks/0AsEtuoqlnt5xKAmuOCpJy,https://api.spotify.com/v1/audio-analysis/0AsEtuoqlnt5xKAmuOCpJy,188800.0,4.0,Warren Zeiders,Love's A Leavin',1.0,
0AucvQDgDoyDg4G1b4Yi8F,0.583,0.821,5.0,-5.571,0.0,0.109,0.109,0.00574,0.341,0.487,158.713,audio_features,spotify:track:0AucvQDgDoyDg4G1b4Yi8F,https://api.spotify.com/v1/tracks/0AucvQDgDoyDg4G1b4Yi8F,https://api.spotify.com/v1/audio-analysis/0AucvQDgDoyDg4G1b4Yi8F,193029.0,3.0,Roy Lattimore,Country,5.0,
0BB8qz7ZmklllIae8CaLep,0.416,0.111,0.0,-13.539,1.0,0.0335,0.91,0.0,0.0782,0.29,142.938,audio_features,spotify:track:0BB8qz7ZmklllIae8CaLep,https://api.spotify.com/v1/tracks/0BB8qz7ZmklllIae8CaLep,https://api.spotify.com/v1/audio-analysis/0BB8qz7ZmklllIae8CaLep,148107.0,4.0,Chelsea Cutler,love you into loving me,8.0,
0BWhRDZajVPoO3qaLbeCDJ,0.645,0.496,1.0,-11.879,1.0,0.215,0.0213,0.0959,0.114,0.482,181.961,audio_features,spotify:track:0BWhRDZajVPoO3qaLbeCDJ,https://api.spotify.com/v1/tracks/0BWhRDZajVPoO3qaLbeCDJ,https://api.spotify.com/v1/audio-analysis/0BWhRDZajVPoO3qaLbeCDJ,116080.0,4.0,xaviersobased,love hate,3.0,
0CEsKV485jSq8nn0Rsx4qY,0.638,0.816,2.0,-6.916,1.0,0.0462,0.0141,1.09e-05,0.31,0.436,102.049,audio_features,spotify:track:0CEsKV485jSq8nn0Rsx4qY,https://api.spotify.com/v1/tracks/0CEsKV485jSq8nn0Rsx4qY,https://api.spotify.com/v1/audio-analysis/0CEsKV485jSq8nn0Rsx4qY,172427.0,4.0,Colt Ford,Country Thang (feat. Eric Church),0.0,
0CSTvWUps1YmpQoXXay9ol,0.524,0.803,9.0,-5.56,0.0,0.0366,0.145,0.000191,0.115,0.0827,140.003,audio_features,spotify:track:0CSTvWUps1YmpQoXXay9ol,https://api.spotify.com/v1/tracks/0CSTvWUps1YmpQoXXay9ol,https://api.spotify.com/v1/audio-analysis/0CSTvWUps1YmpQoXXay9ol,255133.0,4.0,Florence + The Machine,Cosmic Love,5.0,
0CWVJQHd05iZrC7zsUEOf6,0.592,0.78,0.0,-5.37,1.0,0.0441,0.0902,0.0,0.0795,0.498,119.924,audio_features,spotify:track:0CWVJQHd05iZrC7zsUEOf6,https://api.spotify.com/v1/tracks/0CWVJQHd05iZrC7zsUEOf6,https://api.spotify.com/v1/audio-analysis/0CWVJQHd05iZrC7zsUEOf6,194000.0,4.0,James Johnston,COUNTRY BOYS,0.0,
0CXVjQI9wsqaGeIARkkpYc,0.866,0.454,0.0,-9.383,1.0,0.0414,0.0373,1.49e-06,0.275,0.368,99.982,audio_features,spotify:track:0CXVjQI9wsqaGeIARkkpYc,https://api.spotify.com/v1/tracks/0CXVjQI9wsqaGeIARkkpYc,https://api.spotify.com/v1/audio-analysis/0CXVjQI9wsqaGeIARkkpYc,247067.0,4.0,Akon,I Wanna Love You,0.0,
0CgFgfEay1BYCoUhwjk9QA,0.512,0.709,2.0,-5.766,1.0,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,audio_features,spotify:track:0CgFgfEay1BYCoUhwjk9QA,https://api.spotify.com/v1/tracks/0CgFgfEay1BYCoUhwjk9QA,https://api.spotify.com/v1/audio-analysis/0CgFgfEay1BYCoUhwjk9QA,211413.0,4.0,Cody Johnson,The Painter,0.0,
0Cy7wt6IlRfBPHXXjmZbcP,0.489,0.597,5.0,-6.633,0.0,0.0292,0.27,0.0,0.105,0.323,95.013,audio_features,spotify:track:0Cy7wt6IlRfBPHXXjmZbcP,https://api.spotify.com/v1/tracks/0Cy7wt6IlRfBPHXXjmZbcP,https://api.spotify.com/v1/audio-analysis/0Cy7wt6IlRfBPHXXjmZbcP,253520.0,4.0,Ellie Goulding,Love Me Like You Do,5.0,
0D1lgFbxCMU4aieSJWSy9H,0.699,0.684,1.0,-9.796,1.0,0.417,0.852,0.898,0.112,0.726,114.058,audio_features,spotify:track:0D1lgFbxCMU4aieSJWSy9H,https://api.spotify.com/v1/tracks/0D1lgFbxCMU4aieSJWSy9H,https://api.spotify.com/v1/audio-analysis/0D1lgFbxCMU4aieSJWSy9H,152674.0,4.0,ZWE1HVNDXR,LOVELY BASTARDS - Slowed,3.0,
0D8n9JEamkUNTXpVYbPNrK,0.512,0.709,2.0,-5.766,1.0,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,audio_features,spotify:track:0D8n9JEamkUNTXpVYbPNrK,https://api.spotify.com/v1/tracks/0D8n9JEamkUNTXpVYbPNrK,https://api.spotify.com/v1/audio-analysis/0D8n9JEamkUNTXpVYbPNrK,211413.0,4.0,Cody Johnson,The Painter,0.0,
0DWXEQvxbrDlJ1tt9Q1Zc9,0.572,0.685,6.0,-7.29,1.0,0.0356,0.0291,0.0,0.0963,0.232,110.699,audio_features,spotify:track:0DWXEQvxbrDlJ1tt9Q1Zc9,https://api.spotify.com/v1/tracks/0DWXEQvxbrDlJ1tt9Q1Zc9,https://api.spotify.com/v1/audio-analysis/0DWXEQvxbrDlJ1tt9Q1Zc9,333386.0,4.0,Cory Asbury,Reckless Love,0.0,
0Dsxh0x9LpFgk8dkcNxraG,0.872,0.702,4.0,-5.509,1.0,0.0409,0.148,0.0,0.078,0.794,101.013,audio_features,spotify:track:0Dsxh0x9LpFgk8dkcNxraG,https://api.spotify.com/v1/tracks/0Dsxh0x9LpFgk8dkcNxraG,https://api.spotify.com/v1/audio-analysis/0Dsxh0x9LpFgk8dkcNxraG,144702.0,4.0,Sammy Arriaga,COUNTRY SIDE,2.0,
0DuWyzeLH09PQcnOMJiRgE,0.366,0.136,9.0,-12.42,0.0,0.0432,0.923,0.0,0.103,0.254,63.438,audio_features,spotify:track:0DuWyzeLH09PQcnOMJiRgE,https://api.spotify.com/v1/tracks/0DuWyzeLH09PQcnOMJiRgE,https://api.spotify.com/v1/audio-analysis/0DuWyzeLH09PQcnOMJiRgE,197707.0,4.0,Billie Holiday,Lover Man,8.0,
