danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.652,0.749,0,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103,audio_features,1z6WtY7X4HQJvzxC4UgkSf,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf,267413,4
0.404,0.647,3,-10.452,1,0.0409,0.0434,0.198,0.1,0.351,180.128,audio_features,1ucnuV88gFTfR3BalmznDk,spotify:track:1ucnuV88gFTfR3BalmznDk,https://api.spotify.com/v1/tracks/1ucnuV88gFTfR3BalmznDk,https://api.spotify.com/v1/audio-analysis/1ucnuV88gFTfR3BalmznDk,456000,4
0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,audio_features,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,145800,4
0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,2kYevr8cbIAH2ha8210Bnz,spotify:track:2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/tracks/2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/audio-analysis/2kYevr8cbIAH2ha8210Bnz,229627,4
0.712,0.868,5,-3.319,0,0.0656,0.00939,0.0,0.283,0.652,125.028,audio_features,0yIywEquxORnu1dR0WYsdN,spotify:track:0yIywEquxORnu1dR0WYsdN,https://api.spotify.com/v1/tracks/0yIywEquxORnu1dR0WYsdN,https://api.spotify.com/v1/audio-analysis/0yIywEquxORnu1dR0WYsdN,191573,4
0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,audio_features,1eIXYZWEfJO3Na2LCCnIJE,spotify:track:1eIXYZWEfJO3Na2LCCnIJE,https://api.spotify.com/v1/tracks/1eIXYZWEfJO3Na2LCCnIJE,https://api.spotify.com/v1/audio-analysis/1eIXYZWEfJO3Na2LCCnIJE,183893,4
0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.753,audio_features,3sTN90bIP2cJ1783ctHykO,spotify:track:3sTN90bIP2cJ1783ctHykO,https://api.spotify.com/v1/tracks/3sTN90bIP2cJ1783ctHykO,https://api.spotify.com/v1/audio-analysis/3sTN90bIP2cJ1783ctHykO,192160,4
0.611,0.813,9,-7.689,0,0.0279,0.339,0.898,0.224,0.821,140.112,audio_features,0X5C4WjQNubRysTkHOubz3,spotify:track:0X5C4WjQNubRysTkHOubz3,https://api.spotify.com/v1/tracks/0X5C4WjQNubRysTkHOubz3,https://api.spotify.com/v1/audio-analysis/0X5C4WjQNubRysTkHOubz3,209573,4
0.527,0.923,2,-7.458,1,0.0379,0.000541,0.765,0.127,0.899,146.924,audio_features,34iOH7LY3vme5rQxsVILZ4,spotify:track:34iOH7LY3vme5rQxsVILZ4,https://api.spotify.com/v1/tracks/34iOH7LY3vme5rQxsVILZ4,https://api.spotify.com/v1/audio-analysis/34iOH7LY3vme5rQxsVILZ4,208453,4
0.707,0.67,9,-6.137,1,0.0323,0.164,0.00283,0.109,0.822,112.993,audio_features,6QTPacyXkZWG9FMwq6L1hJ,spotify:track:6QTPacyXkZWG9FMwq6L1hJ,https://api.spotify.com/v1/tracks/6QTPacyXkZWG9FMwq6L1hJ,https://api.spotify.com/v1/audio-analysis/6QTPacyXkZWG9FMwq6L1hJ,223120,4
0.626,0.475,7,-7.534,1,0.0267,0.413,0.0,0.22,0.198,124.131,audio_features,12n0Z1dIlqXZYXx43MSHoG,spotify:track:12n0Z1dIlqXZYXx43MSHoG,https://api.spotify.com/v1/tracks/12n0Z1dIlqXZYXx43MSHoG,https://api.spotify.com/v1/audio-analysis/12n0Z1dIlqXZYXx43MSHoG,223062,3
0.527,0.366,10,-10.943,1,0.0277,0.487,0.0023,0.11,0.234,98.994,audio_features,2Kerz9H9IejzeIpjhDJoYG,spotify:track:2Kerz9H9IejzeIpjhDJoYG,https://api.spotify.com/v1/tracks/2Kerz9H9IejzeIpjhDJoYG,https://api.spotify.com/v1/audio-analysis/2Kerz9H9IejzeIpjhDJoYG,272743,4
0.613,0.81,1,-6.16,1,0.488,0.832,0.899,0.137,0.686,150.251,audio_features,0EqczV3o6fwksegAavIHpX,spotify:track:0EqczV3o6fwksegAavIHpX,https://api.spotify.com/v1/tracks/0EqczV3o6fwksegAavIHpX,https://api.spotify.com/v1/audio-analysis/0EqczV3o6fwksegAavIHpX,116104,4
0.569,0.385,1,-9.919,0,0.0499,0.342,0.0,0.0876,0.339,99.749,audio_features,6uSa5iCMwPr10Ftpz8w09b,spotify:track:6uSa5iCMwPr10Ftpz8w09b,https://api.spotify.com/v1/tracks/6uSa5iCMwPr10Ftpz8w09b,https://api.spotify.com/v1/audio-analysis/6uSa5iCMwPr10Ftpz8w09b,304667,4
0.535,0.725,10,-5.108,1,0.0275,0.0203,1.45e-05,0.176,0.292,78.489,audio_features,6Ozp6ac86CSHMik8lbvJuM,spotify:track:6Ozp6ac86CSHMik8lbvJuM,https://api.spotify.com/v1/tracks/6Ozp6ac86CSHMik8lbvJuM,https://api.spotify.com/v1/audio-analysis/6Ozp6ac86CSHMik8lbvJuM,217387,4
0.734,0.0314,0,-29.249,1,0.0458,0.996,0.96,0.105,0.584,94.095,audio_features,1beRD6pbKW4rFT3kCNfvKo,spotify:track:1beRD6pbKW4rFT3kCNfvKo,https://api.spotify.com/v1/tracks/1beRD6pbKW4rFT3kCNfvKo,https://api.spotify.com/v1/audio-analysis/1beRD6pbKW4rFT3kCNfvKo,163404,4
0.319,0.391,2,-9.758,1,0.0298,0.649,0.296,0.279,0.251,61.922,audio_features,5mtTAScDytxMMqZj14NmlN,spotify:track:5mtTAScDytxMMqZj14NmlN,https://api.spotify.com/v1/tracks/5mtTAScDytxMMqZj14NmlN,https://api.spotify.com/v1/audio-analysis/5mtTAScDytxMMqZj14NmlN,307750,4
0.172,0.00821,8,-38.326,0,0.0602,0.99,0.857,0.0927,0.0953,138.88,audio_features,6cwwnBN7eYgBPf7QFbXL2w,spotify:track:6cwwnBN7eYgBPf7QFbXL2w,https://api.spotify.com/v1/tracks/6cwwnBN7eYgBPf7QFbXL2w,https://api.spotify.com/v1/audio-analysis/6cwwnBN7eYgBPf7QFbXL2w,79286,4
0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,audio_features,4SqWKzw0CbA05TGszDgMlc,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240,4
0.692,0.512,6,-8.596,1,0.0354,0.208,0.000994,0.077,0.739,79.003,audio_features,5tyznRXlcIx0XlQ7S8iCMW,spotify:track:5tyznRXlcIx0XlQ7S8iCMW,https://api.spotify.com/v1/tracks/5tyznRXlcIx0XlQ7S8iCMW,https://api.spotify.com/v1/audio-analysis/5tyznRXlcIx0XlQ7S8iCMW,203627,4
